Year,Month,Day,Federal Funds Target Rate,Federal Funds Upper Target,Federal Funds Lower Target,Effective Federal Funds Rate,Real GDP (Percent Change),Unemployment Rate,Inflation Rate
2008,3,1,3,,,2.61,,5.1,2.4
2008,3,18,2.25,,,,,,
2008,4,1,2.25,,,2.28,2,5,2.3
2008,4,30,2,,,,,,
2008,5,1,2,,,1.98,,5.4,2.3
2008,6,1,2,,,2,,5.6,2.4
2008,7,1,2,,,2.01,-1.9,5.8,2.5
2008,8,1,2,,,2,,6.1,2.5
2008,9,1,2,,,1.81,,6.1,2.5
2008,10,1,2,,,0.97,-8.2,6.5,2.2
2008,10,8,1.5,,,,,,
2008,10,29,1,,,,,,
2008,11,1,1,,,0.39,,6.8,2
2008,12,1,1,,,0.16,,7.3,1.8
2008,12,16,,0.25,0,,,,
2009,1,1,,0.25,0,0.15,-5.4,7.8,1.7
2009,2,1,,0.25,0,0.22,,8.3,1.8
2009,3,1,,0.25,0,0.18,,8.7,1.8
2009,4,1,,0.25,0,0.15,-0.5,9,1.9
2009,5,1,,0.25,0,0.18,,9.4,1.8
2009,6,1,,0.25,0,0.21,,9.5,1.7
2009,7,1,,0.25,0,0.16,1.3,9.5,1.5
2009,8,1,,0.25,0,0.16,,9.6,1.4
2009,9,1,,0.25,0,0.15,,9.8,1.5
2009,10,1,,0.25,0,0.12,3.9,10,1.7
2009,11,1,,0.25,0,0.12,,9.9,1.7
2009,12,1,,0.25,0,0.12,,9.9,1.8
2010,1,1,,0.25,0,0.11,1.7,9.8,1.6
2010,2,1,,0.25,0,0.13,,9.8,1.3
2010,3,1,,0.25,0,0.16,,9.9,1.1
2010,4,1,,0.25,0,0.2,3.9,9.9,0.9
2010,5,1,,0.25,0,0.2,,9.6,0.9
2010,6,1,,0.25,0,0.18,,9.4,0.9
2010,7,1,,0.25,0,0.18,2.7,9.4,0.9
2010,8,1,,0.25,0,0.19,,9.5,0.9
2010,9,1,,0.25,0,0.19,,9.5,0.8
2010,10,1,,0.25,0,0.19,2.5,9.4,0.6
2010,11,1,,0.25,0,0.19,,9.8,0.8
2010,12,1,,0.25,0,0.18,,9.3,0.8
2011,1,1,,0.25,0,0.17,-1.5,9.1,1
2011,2,1,,0.25,0,0.16,,9,1.1
2011,3,1,,0.25,0,0.14,,9,1.2
2011,4,1,,0.25,0,0.1,2.9,9.1,1.3
2011,5,1,,0.25,0,0.09,,9,1.5
2011,6,1,,0.25,0,0.09,,9.1,1.6
2011,7,1,,0.25,0,0.07,0.8,9,1.8
2011,8,1,,0.25,0,0.1,,9,2
2011,9,1,,0.25,0,0.08,,9,2
2011,10,1,,0.25,0,0.07,4.6,8.8,2.1
2011,11,1,,0.25,0,0.08,,8.6,2.2
2011,12,1,,0.25,0,0.07,,8.5,2.2
2012,1,1,,0.25,0,0.08,2.7,8.3,2.3
2012,2,1,,0.25,0,0.1,,8.3,2.2
2012,3,1,,0.25,0,0.13,,8.2,2.3
2012,4,1,,0.25,0,0.14,1.9,8.2,2.3
2012,5,1,,0.25,0,0.16,,8.2,2.3
2012,6,1,,0.25,0,0.16,,8.2,2.2
2012,7,1,,0.25,0,0.16,0.5,8.2,2.1
2012,8,1,,0.25,0,0.13,,8.1,1.9
2012,9,1,,0.25,0,0.14,,7.8,2
2012,10,1,,0.25,0,0.16,0.1,7.8,2
2012,11,1,,0.25,0,0.16,,7.7,1.9
2012,12,1,,0.25,0,0.16,,7.9,1.9
2013,1,1,,0.25,0,0.14,2.8,8,1.9
2013,2,1,,0.25,0,0.15,,7.7,2
2013,3,1,,0.25,0,0.14,,7.5,1.9
2013,4,1,,0.25,0,0.15,0.8,7.6,1.7
2013,5,1,,0.25,0,0.11,,7.5,1.7
2013,6,1,,0.25,0,0.09,,7.5,1.6
2013,7,1,,0.25,0,0.09,3.1,7.3,1.7
2013,8,1,,0.25,0,0.08,,7.3,1.8
2013,9,1,,0.25,0,0.08,,7.2,1.7
2013,10,1,,0.25,0,0.09,4,7.2,1.7
2013,11,1,,0.25,0,0.08,,6.9,1.7
2013,12,1,,0.25,0,0.09,,6.7,1.7
2014,1,1,,0.25,0,0.07,-1.2,6.6,1.6
2014,2,1,,0.25,0,0.07,,6.7,1.6
2014,3,1,,0.25,0,0.08,,6.7,1.7
2014,4,1,,0.25,0,0.09,4,6.2,1.8
2014,5,1,,0.25,0,0.09,,6.3,2
2014,6,1,,0.25,0,0.1,,6.1,1.9
2014,7,1,,0.25,0,0.09,5,6.2,1.9
2014,8,1,,0.25,0,0.09,,6.2,1.7
2014,9,1,,0.25,0,0.09,,5.9,1.7
2014,10,1,,0.25,0,0.09,2.3,5.7,1.8
2014,11,1,,0.25,0,0.09,,5.8,1.7
2014,12,1,,0.25,0,0.12,,5.6,1.6
2015,1,1,,0.25,0,0.11,2,5.7,1.6
2015,2,1,,0.25,0,0.11,,5.5,1.7
2015,3,1,,0.25,0,0.11,,5.4,1.8
2015,4,1,,0.25,0,0.12,2.6,5.4,1.8
2015,5,1,,0.25,0,0.12,,5.5,1.7
2015,6,1,,0.25,0,0.13,,5.3,1.8
2015,7,1,,0.25,0,0.13,2,5.2,1.8
2015,8,1,,0.25,0,0.14,,5.1,1.8
2015,9,1,,0.25,0,0.14,,5,1.9
2015,10,1,,0.25,0,0.12,0.9,5,1.9
2015,11,1,,0.25,0,0.12,,5,2
2015,12,1,,0.25,0,0.24,,5,2.1
2015,12,16,,0.5,0.25,,,,
2016,1,1,,0.5,0.25,0.34,0.8,4.9,2.2
2016,2,1,,0.5,0.25,0.38,,4.9,2.3
2016,3,1,,0.5,0.25,0.36,,5,2.2
2016,4,1,,0.5,0.25,0.37,1.4,5,2.1
2016,5,1,,0.5,0.25,0.37,,4.7,2.2
2016,6,1,,0.5,0.25,0.38,,4.9,2.2
2016,7,1,,0.5,0.25,0.39,3.5,4.9,2.2
2016,8,1,,0.5,0.25,0.4,,4.9,2.3
2016,9,1,,0.5,0.25,0.4,,4.9,2.2
2016,10,1,,0.5,0.25,0.4,1.9,4.8,2.1
2016,11,1,,0.5,0.25,0.41,,4.6,2.1
2016,12,1,,0.5,0.25,0.54,,4.7,2.2
2016,12,14,,0.75,0.5,,,,
2017,1,1,,0.75,0.5,0.65,,4.8,2.3
2017,2,1,,0.75,0.5,0.66,,4.7,2.2
2017,3,1,,0.75,0.5,,,,
2017,3,16,,1,0.75,,,,
